Length	Amplitude	Phase
0	48292.2	0
0.3133	-343.951	-386.828
0.6266	-298.242	-254.381
0.9398	-190.862	-220.214
1.2531	-182.98	-127.077
1.5664	-273.056	-143.016
1.8797	-239.239	-171.169
2.193	-245.986	-127.688
2.5063	-283.265	-165.319
2.8195	-455.812	-197.052
3.1328	-558.916	-293.379
3.4461	-768.312	-623.222
3.7594	-1578.95	-1373.74
4.0727	4044.56	3540.41
4.386	898.484	650.617
4.6992	592.019	368.002
5.0125	357.756	347.24
5.3258	256.202	348.471
5.6391	214.789	304.483
5.9524	143.196	272.578
6.2657	139.629	236.74
6.5789	112.98	254.599
6.8922	183.257	300.812
7.2055	267.092	380.144
7.5188	221.387	637.015
7.8321	289.125	1700.68
8.1454	-107.245	-1217.94
8.4586	-8.53412	-285.041
8.7719	-71.8768	-158.846
9.0852	-50.644	-125.533
9.3985	11.0012	-124.488
9.7118	-14.5704	-61.8654
10.0251	-12.1829	-26.1306
10.3383	-3.7624	-33.4618
10.6516	26.9796	-32.0636
10.9649	23.3269	2.37956
11.2782	13.4954	20.3455
11.5915	-30.883	80.3839
11.9048	-239.699	565.015
12.218	90.4268	-75.98
12.5313	22.9295	-16.3171
12.8446	-26.09	-56.0407
13.1579	-6.28621	-19.3456
13.4712	-35.0565	18.9924
13.7845	-12.0804	-47.6088
14.0977	39.7369	4.93596
14.411	27.6361	16.2761
14.7243	-47.1447	87.9033
15.0376	-53.2012	56.547
15.3509	-132.085	-10.0096
15.6642	-156.89	-17.5964
15.9774	1228.71	-456.252
16.2907	41.1772	-144.043
16.604	87.9642	-159.554
16.9173	95.5886	-20.4508
17.2306	87.1649	2.92081
17.5439	73.7355	-20.5954
17.8571	63.8537	36.9199
18.1704	36.6505	-9.33155
18.4837	48.9131	6.11012
18.797	96.3125	-33.06
19.1103	112.295	-43.8192
19.4236	113.523	47.801
19.7368	197.605	123.695
20.0501	-288.732	-213.195
20.3634	-32.0582	-16.8574
20.6767	-49.9946	10.2627
20.99	-35.7257	-14.9989
21.3033	-11.3608	-31.8081
21.6165	11.7551	2.48238
21.9298	-3.51642	13.8185
22.2431	9.63436	-10.5719
22.5564	-0.369007	-28.7191
22.8697	44.4192	-16.44
23.183	44.3902	-6.82357
23.4962	80.8767	33.8939
23.8095	247.739	226.5
24.1228	-72.8426	-148.945
24.4361	-31.1709	-48.8155
24.7494	-66.8281	-14.3079
25.0627	-12.0142	12.0315
25.3759	-28.9658	-9.17351
25.6892	-41.8774	-44.1982
26.0025	29.4715	-52.7987
26.3158	13.7652	0.0632574
26.6291	13.6587	26.8413
26.9424	3.99833	-14.6936
27.2556	-49.7401	-21.1108
27.5689	-32.5125	-53.5007
27.8822	83.5341	-466.889
28.1955	-97.2645	31.3794
28.5088	-40.6109	-55.4866
28.8221	25.3183	-6.55308
29.1353	16.3859	-21.4283
29.4486	8.94046	-14.8483
29.7619	24.9514	-2.7824
30.0752	-5.20371	3.41148
30.3885	2.356	-15.4499
30.7018	12.9884	-36.5962
31.015	20.5092	-27.4732
31.3283	35.6852	10.1935
31.6416	31.5411	10.5999
31.9549	-136.584	-36.1831
32.2682	-3.42457	6.85106
32.5815	-30.2064	19.9225
32.8947	-27.1367	-1.27116
33.208	-10.5883	-27.9499
33.5213	28.8632	-15.3255
33.8346	2.22962	-6.43645
34.1479	-15.8885	-14.7676
34.4612	-15.1581	-29.3087
34.7744	14.4136	-27.6458
35.0877	-13.299	-23.5368
35.401	28.0654	-40.3024
35.7143	98.0773	-62.5901
36.0276	-131.817	22.8163
36.3409	-28.5787	8.79099
36.6541	-20.8472	21.0412
36.9674	3.10866	6.82542
37.2807	-18.1391	-2.66881
37.594	-40.5408	-11.807
37.9073	-24.1763	-38.5299
38.2206	-2.01263	-9.23991
38.5338	-1.20792	6.95893
38.8471	-36.9231	-21.4195
39.1604	-43.7392	1.13003
39.4737	-44.59	-19.6534
39.787	-90.6166	-115.121
40.1003	-14.9525	52.7888
40.4135	0.364592	-12.6042
40.7268	24.4482	-17.2631
41.0401	5.08194	-8.03774
41.3534	-10.274	-10.0936
41.6667	9.40956	-6.81383
41.9799	-7.98867	2.11197
42.2932	-21.6959	-15.0561
42.6065	-10.9594	-25.7381
42.9198	-8.29857	-19.9477
43.2331	22.8196	-0.415497
43.5464	13.1399	-2.03523
43.8596	-100.694	41.2585
44.1729	36.6797	3.29092
44.4862	-2.10457	37.1365
