Length	Amplitude	
0	-0.641386
0.3133	-1.30739
0.6266	-1.50422
0.9398	-1.28646
1.2531	-0.666681
1.5664	-0.415264
1.8797	-0.410261
2.193	-0.430248
2.5063	-0.4025
2.8195	-0.346569
3.1328	-0.355175
3.4461	-0.330823
3.7594	-0.267819
4.0727	-0.259572
4.386	-0.20374
4.6992	-0.179804
5.0125	-0.142856
5.3258	-0.14215
5.6391	-0.144534
5.9524	-0.090679
6.2657	-0.0420244
6.5789	0.0150739
6.8922	0.0276453
7.2055	0.0587568
7.5188	0.0586002
7.8321	0.097228
8.1454	0.166479
8.4586	0.169526
8.7719	0.202299
9.0852	0.249028
9.3985	0.270728
9.7118	0.25376
10.0251	0.266401
10.3383	0.267959
10.6516	0.269664
10.9649	0.267133
11.2782	0.284943
11.5915	0.273535
11.9048	0.28894
12.218	0.257156
12.5313	0.2169
12.8446	0.202276
13.1579	0.196003
13.4712	0.153136
13.7845	0.155272
14.0977	0.160411
14.411	0.144768
14.7243	0.106825
15.0376	0.105346
15.3509	0.0498865
15.6642	0.0370842
15.9774	0.0324856
16.2907	0.00256509
16.604	0.00209232
16.9173	-0.0403872
17.2306	-0.0653056
17.5439	-0.110889
17.8571	-0.160427
18.1704	-0.210861
18.4837	-0.225851
18.797	-0.220092
19.1103	-0.268079
19.4236	-0.292995
19.7368	-0.309108
20.0501	-0.334322
20.3634	-0.329717
20.6767	-0.361558
20.99	-0.342142
21.3033	-0.334775
21.6165	-0.367548
21.9298	-0.464771
22.2431	-0.778523
22.5564	-0.914448
22.8697	-0.935568
23.183	-0.934155
23.4962	-0.964403
23.8095	-1.00848
24.1228	-1.07012
24.4361	-1.13089
24.7494	-1.17705
25.0627	-1.24918
25.3759	-1.29004
25.6892	-1.27775
26.0025	-1.27448
26.3158	-1.28085
26.6291	-1.28587
26.9424	-1.27673
27.2556	-1.34449
27.5689	-1.43855
27.8822	-1.56932
28.1955	-1.69867
28.5088	-1.86676
28.8221	-2.01931
29.1353	-2.19682
29.4486	-2.33603
29.7619	-2.48856
30.0752	-2.66117
30.3885	-2.76992
30.7018	-2.83222
31.015	-2.87349
31.3283	-2.94904
31.6416	-3.00912
31.9549	-3.01273
32.2682	-3.02314
32.5815	-2.99817
32.8947	-2.92339
33.208	-2.83558
33.5213	-2.74117
33.8346	-2.66688
34.1479	-2.603
34.4612	-2.54818
34.7744	-2.48986
35.0877	-2.42534
35.401	-2.39931
35.7143	-2.34308
36.0276	-2.28747
36.3409	-2.25132
36.6541	-2.21648
36.9674	-2.20319
37.2807	-2.19423
37.594	-2.17562
37.9073	-2.15179
38.2206	-2.13059
38.5338	-2.13092
38.8471	-2.14011
39.1604	-2.10944
39.4737	-2.10445
39.787	-2.10389
40.1003	-2.13302
40.4135	-2.14276
40.7268	-2.14475
41.0401	-2.12935
41.3534	-2.12813
41.6667	-2.13575
41.9799	-2.15941
42.2932	-2.17666
42.6065	-2.20158
42.9198	-2.25727
43.2331	-2.23723
43.5464	-2.27794
43.8596	-2.30707
44.1729	-2.334
44.4862	-2.36832
44.7995	-2.39941
45.1128	-2.43645
45.4261	-2.46543
45.7393	-2.46921
46.0526	-2.4822
46.3659	-2.46056
46.6792	-2.4695
46.9925	-2.4749
47.3058	-2.49891
47.619	-2.51021
47.9323	-2.49058
48.2456	-2.49821
48.5589	-2.4624
48.8722	-2.43748
49.1855	-2.44505
49.4987	-2.44607
49.812	-2.44187
50.1253	-2.44566
50.4386	-2.40967
50.7519	-2.37317
51.0652	-2.35877
51.3784	-2.32731
51.6917	-2.29986
52.005	-2.24688
52.3183	-2.24055
52.6316	-2.19121
52.9449	-2.11098
53.2581	-2.09032
53.5714	-2.03529
53.8847	-1.99026
54.198	-1.92707
54.5113	-1.87832
54.8246	-1.84734
55.1378	-1.82498
55.4511	-1.78852
55.7644	-1.76656
56.0777	-1.75362
56.391	-1.69598
56.7043	-1.67722
57.0175	-1.63842
57.3308	-1.61874
57.6441	-1.57777
57.9574	-1.53647
58.2707	-1.53119
58.584	-1.52277
58.8972	-1.50336
59.2105	-1.50174
59.5238	-1.48877
59.8371	-1.47356
60.1504	-1.45946
60.4637	-1.44638
60.7769	-1.4128
61.0902	-1.27654
61.4035	-1.20044
61.7168	-1.11249
62.0301	-0.993424
62.3434	-0.867257
62.6566	-0.754525
62.9699	-0.520325
63.2832	-0.333955
63.5965	-0.135633
63.9098	0.109287
64.2231	0.266102
64.5363	0.456392
64.8496	0.628763
65.1629	0.776593
65.4762	0.977351
65.7895	1.19715
66.1028	1.3687
66.416	1.45582
66.7293	1.57987
67.0426	1.69758
67.3559	1.76142
67.6692	1.90473
67.9825	1.97237
68.2957	2.02209
68.609	2.0573
68.9223	2.07534
69.2356	2.02471
69.5489	1.9798
69.8622	1.98464
70.1754	1.96976
70.4887	1.95095
70.802	1.82787
71.1153	1.59619
71.4286	1.51141
71.7419	1.49744
72.0551	1.44956
72.3684	1.41527
72.6817	1.36716
72.995	1.30457
73.3083	1.2626
73.6216	1.23589
73.9348	1.21533
74.2481	1.16273
74.5614	1.14523
74.8747	1.12181
75.188	1.08699
75.5013	1.09073
75.8145	1.09436
76.1278	1.1074
76.4411	1.10512
76.7544	1.08702
77.0677	1.07453
77.381	1.09243
77.6942	1.09374
78.0075	1.08194
78.3208	1.10811
78.6341	1.13569
78.9474	1.16029
79.2607	1.16218
79.5739	1.14
79.8872	1.16442
80.2005	1.17982
80.5138	1.23016
80.8271	1.27043
81.1404	1.28329
81.4536	1.31919
81.7669	1.3248
82.0802	1.34076
82.3935	1.35162
82.7068	1.33466
83.0201	1.34647
83.3333	1.38266
83.6466	1.37932
83.9599	1.37171
84.2732	1.37701
84.5865	1.37713
84.8997	1.38033
85.213	1.35594
85.5263	1.31129
85.8396	1.30981
86.1529	1.28486
86.4662	1.27456
86.7794	1.26312
87.0927	1.23398
87.406	1.18242
87.7193	1.11777
88.0326	1.08449
88.3459	1.07938
88.6591	1.02255
88.9724	0.978992
89.2857	0.936324
89.599	0.866005
89.9123	0.835555
90.2256	0.774433
90.5388	0.743117
90.8521	0.709255
91.1654	0.616192
91.4787	0.542578
91.792	0.46108
92.1053	0.41329
92.4185	0.308022
92.7318	0.227369
93.0451	0.145785
93.3584	0.0894684
93.6717	-0.0168327
93.985	-0.06262
94.2982	-0.134479
94.6115	-0.218784
94.9248	-0.281298
95.2381	-0.374721
95.5514	-0.452048
95.8647	-0.52693
96.1779	-0.591416
96.4912	-0.636287
96.8045	-0.658551
97.1178	-0.696922
97.4311	-0.771704
97.7444	-0.819617
98.0576	-0.864271
98.3709	-0.892257
98.6842	-0.904536
98.9975	-0.926973
99.3108	-0.943552
99.6241	-0.932192
99.9373	-0.91339
100.251	-0.907202
100.564	-0.931241
100.877	-0.915002
101.191	-0.951517
101.504	-0.90437
101.817	-0.870902
102.13	-0.859851
102.444	-0.839078
102.757	-0.828143
103.07	-0.810432
103.383	-0.767854
103.697	-0.753762
104.01	-0.704139
104.323	-0.65715
104.637	-0.633748
104.95	-0.564097
105.263	-0.515241
105.576	-0.428961
105.89	-0.396658
106.203	-0.362572
106.516	-0.265515
106.83	-0.209355
107.143	-0.175833
107.456	-0.10122
107.769	-0.0743251
108.083	-0.0390224
108.396	-0.00734503
108.709	0.0187798
109.023	0.0724404
109.336	0.0747341
109.649	0.0944567
109.962	0.0947368
110.276	0.143456
110.589	0.155416
110.902	0.180878
111.216	0.201009
111.529	0.242696
111.842	0.22495
112.155	0.272724
112.469	0.289878
112.782	0.301495
113.095	0.304067
113.409	0.303482
113.722	0.317344
114.035	0.338966
114.348	0.326492
114.662	0.31828
114.975	0.284886
115.288	0.26095
115.602	0.224094
115.915	0.219473
116.228	0.188332
116.541	0.187985
116.855	0.179252
117.168	0.148249
117.481	0.154704
117.794	0.146321
118.108	0.133366
118.421	0.0987214
118.734	0.10618
119.048	0.141556
119.361	0.0891388
119.674	0.115869
119.987	0.106214
120.301	0.0854318
120.614	0.0845264
120.927	0.0680509
121.241	0.110399
121.554	0.134928
121.867	0.151493
122.18	0.150185
122.494	0.100136
122.807	-0.0333623
123.12	-0.294367
123.434	-0.413038
123.747	-0.478685
124.06	-0.473266
124.373	-0.470949
124.687	-0.517406
125	-0.561177
125.313	-0.637812
125.627	-0.701046
125.94	-0.751577
126.253	-0.703299
126.566	-0.702347
126.88	-0.767997
127.193	-0.742225
127.506	-0.80876
127.82	-0.802884
128.133	-0.828343
128.446	-0.928744
128.759	-1.05031
129.073	-1.2047
129.386	-1.31777
129.699	-1.46142
130.012	-1.62325
130.326	-1.73442
130.639	-1.83388
130.952	-1.91714
131.266	-1.92577
131.579	-1.98472
131.892	-2.04632
132.206	-2.04345
132.519	-2.05323
132.832	-2.01705
133.145	-1.9588
133.459	-1.83197
133.772	-1.72227
134.085	-1.61172
134.399	-1.5043
134.712	-1.42864
135.025	-1.36916
135.338	-1.28682
135.652	-1.21795
135.965	-1.11975
136.278	-1.05444
136.591	-0.973364
136.905	-0.927787
137.218	-0.855682
137.531	-0.815102
137.845	-0.776751
138.158	-0.73746
138.471	-0.716661
138.785	-0.673794
139.098	-0.643917
139.411	-0.628435
139.724	-0.62882
140.038	-0.647125
140.351	-0.612213
140.664	-0.617941
140.977	-0.619776
141.291	-0.614972
141.604	-0.619154
141.917	-0.614968
142.231	-0.638475
142.544	-0.646217
142.857	-0.62988
143.17	-0.672785
143.484	-0.694873
143.797	-0.719891
144.11	-0.744577
144.424	-0.763417
144.737	-0.771525
145.05	-0.80799
145.363	-0.853569
145.677	-0.870429
145.99	-0.903803
146.303	-0.932675
146.617	-0.931726
146.93	-0.974078
147.243	-1.00879
147.556	-1.01258
147.87	-1.03838
148.183	-1.01647
148.496	-1.00128
148.81	-1.01299
149.123	-1.04361
149.436	-1.0384
149.749	-1.04921
150.063	-1.04819
150.376	-1.04956
150.689	-1.04619
151.002	-1.04485
151.316	-1.02333
151.629	-0.988656
151.942	-1.00501
152.256	-1.01392
152.569	-0.991859
152.882	-0.985081
153.196	-0.975621
153.509	-0.949701
153.822	-0.956195
154.135	-0.910602
154.449	-0.875772
154.762	-0.878484
155.075	-0.856255
155.388	-0.818444
155.702	-0.826817
156.015	-0.804582
156.328	-0.806785
156.642	-0.804117
156.955	-0.79822
157.268	-0.768339
157.582	-0.788509
157.895	-0.813446
158.208	-0.81107
158.521	-0.82402
158.835	-0.865148
159.148	-0.8745
159.461	-0.878025
159.774	-0.913226
160.088	-0.968855
160.401	-1.06256
160.714	-1.08586
161.028	-1.0951
161.341	-1.0635
161.654	-1.04581
161.967	-1.0295
162.281	-0.966703
162.594	-0.904222
162.907	-0.83777
163.221	-0.738584
163.534	-0.625765
163.847	-0.486067
164.16	-0.287784
164.474	-0.136781
164.787	0.0169754
165.1	0.186483
165.413	0.314214
165.727	0.433777
166.04	0.55196
166.353	0.647412
166.667	0.776304
166.98	1.00743
167.293	1.27388
167.607	1.43946
167.92	1.52361
168.233	1.54407
168.546	1.52223
168.86	1.53368
169.173	1.54025
169.486	1.50078
169.799	1.50464
170.113	1.50534
170.426	1.42029
170.739	1.35976
171.053	1.23193
171.366	1.03188
171.679	0.903183
171.993	0.888695
172.306	0.785755
172.619	0.716018
172.932	0.673982
173.246	0.62584
173.559	0.56039
173.872	0.503495
174.185	0.468411
174.499	0.404921
174.812	0.349244
175.125	0.296373
175.439	0.24596
175.752	0.233777
176.065	0.19991
176.378	0.171051
176.692	0.167671
177.005	0.129454
177.318	0.122605
177.632	0.118698
177.945	0.126169
178.258	0.119939
178.571	0.109385
178.885	0.112639
179.198	0.126389
179.511	0.148809
179.825	0.148772
180.138	0.172351
180.451	0.163335
180.764	0.155773
181.078	0.162912
181.391	0.167047
181.704	0.187638
182.018	0.2083
182.331	0.239486
182.644	0.252121
182.957	0.278117
183.271	0.290742
183.584	0.309111
183.897	0.301752
184.21	0.314384
184.524	0.360956
184.837	0.411064
185.15	0.392638
185.464	0.38563
185.777	0.411985
186.09	0.44083
186.404	0.414038
186.717	0.392115
187.03	0.409157
187.343	0.375492
187.657	0.358956
187.97	0.326819
188.283	0.30743
188.596	0.297006
188.91	0.24709
189.223	0.173978
189.536	0.165527
189.85	0.104771
190.163	0.0813518
190.476	0.0209686
190.79	-0.0334558
191.103	-0.0636266
191.416	-0.109233
191.729	-0.170398
192.043	-0.257297
192.356	-0.30423
192.669	-0.355439
192.982	-0.444144
193.296	-0.510706
193.609	-0.535036
